"ID","org","address","phone","website","lon","lat","zipcode","beds_capacity","type"
1827,"Sheridan County Hospital","826  18th Street, Hoxie, KS 67740","(785) 675-3281","http://www.sheridancountyhospital.com",-100.431989353,39.354391809,"67740",53,"Critical Access"
1828,"Mercy Hospital Independence","800 West Myrtle Street, Independence, KS 67301","(620) 331-2200","http://www.mercykansas.com",-95.7167264559999,37.2247786340001,"67301",40,"General Acute Care"
1829,"Hodgeman County Health Center","809 Bramley, Jetmore, KS 67854","(620) 357-8361","http://www.hchconline.org",-99.9033643989999,38.083252739,"67854",38,"Critical Access"
1830,"Lawrence Memorial Hospital","325 Maine St, Lawrence, KS 66044","(913) 505-6100","http://www.lmh.org",-95.24868534,38.97887459,"66044",152,"General Acute Care"
1831,"Community Memorial Healthcare","708 n 18th Street, Marysville, KS 66508","(785) 562-2311","http://www.cmhcare.org",-96.635439236,39.8487001310001,"66508",25,"Critical Access"
1832,"Meade District Hospital","510 e Carthage, Meade, KS 67864","(620) 873-2141","http://www.meadehospital.com",-100.33408992,37.286599617,"67864",20,"Critical Access"
1833,"Holy Family Hospital and Medical Center","70 East Street, Methuen, MA 1844","(978) 374-2000","https://www.holyfamily-hospital.org/",-71.1683,42.7277,"1844",223,"General Acute Care"
1834,"Mclean Southeast","23 Isaac Street, Middleborough, MA 2346","(508) 855-2000","http://www.mcleanhospital.org/programs/mse-adult-psychiatric-program",-70.9160335239999,41.901679738,"2346",30,"Psychiatric"
1835,"Sparks Regional Medical Center","1001 Towson Ave, Fort Smith, AR 72901","(479) 441-4000","http://www.sparks.org",-94.419457299,35.374947809,"72901",476,"General Acute Care"
1836,"Chambers Memorial Hospital","719 Detroit Street, Danville, AR 72833","(479) 495-2241","http://www.chambershospital.com",-93.388059141,35.054429783,"72833",41,"General Acute Care"
1837,"Chicot Memorial Hospital","2729 Highway 65 and 82 South, Lake Village, AR 71653","(870) 265-5351","http://www.chicotmemorial.com",-91.290389039,33.306598766,"71653",25,"Critical Access"
1838,"Forrest City Medical Center","1601 Newcastle Road, Forrest City, AR 72335","(870) 261-0000","http://www.forrestcitymedicalcenter.com",-90.7758839209999,35.040019253,"72335",118,"General Acute Care"
1839,"Drew Memorial Hospital","778 Scogin Drive, Monticello, AR 71655","(870) 367-2411","http://www.drewmemorial.org",-91.8167940659999,33.610884587,"71655",49,"General Acute Care"
1840,"The Surgical Hospital of Jonesboro","909 Enterprise Drive, Jonesboro, AR 72401","(870) 336-1100","http://www.tshj.com",-90.691542028,35.8100698640001,"72401",12,"General Acute Care"
1841,"De Witt Hospital & Nursing Home","1641 South Whitehead Drive, De Witt, AR 72042","(870) 946-3571","http://www.dhnh.org",-91.338231193,34.2797948740001,"72042",25,"Critical Access"
1842,"Medical Center of South Arkansas","700 West Grove Street, El Dorado, AR 71730","(870) 863-2000","http://www.themedcenter.net",-92.671093748,33.220726896,"71730",166,"General Acute Care"
1843,"Mcgehee-Desha County Hospital","900 South Third Street, Mc Gehee, AR 71654","(870) 222-5600","",-91.392276339,33.6184553160001,"71654",25,"Critical Access"
1844,"Conway Regional Medical Center","2302 College Avenue, Conway, AR 72034","(501) 329-3831","http://www.conwayregional.org",-92.4578836009999,35.085668045,"72034",146,"General Acute Care"
1845,"Conway Regional Rehabilitation Hospital","2210 Robinson Street, Conway, AR 72034","(501) 932-3500","http://www.conwayregional.org/rehabilitationhospital",-92.4556860549999,35.089291132,"72034",26,"Rehabilitation"
1846,"Lawrence Memorial Hospital","1309 West Main, Walnut Ridge, AR 72476","(870) 886-1200","http://www.lawrencehealth.net",-90.967823451,36.0737585000001,"72476",25,"Critical Access"
1847,"Magnolia Hospital","101 Hospital Drive, Magnolia, AR 71753","(870) 235-3000","http://www.magnoliahospital.org",-93.2391327569999,33.2741981780001,"71753",70,"General Acute Care"
1848,"St. Vincent Medical Center - North","2215 Wildwood Avenue, Sherwood, AR 72120","(501) 552-7100","http://www.stvincenthealth.com",-92.207690629,34.81309517,"72120",69,"General Acute Care"
1849,"St. Vincent Rehabilitation Hospital","2201 Wildwood Avenue, Sherwood, AR 72120","(501) 834-1800","https://www.stvincenthealth.com/SVRehabHospital/index.html",-92.209022025,34.813397133,"72120",60,"Rehabilitation"
1850,"Arkansas Heart Hospital","1701 South Shackleford Road, Little Rock, AR 72211","(501) 219-7000","http://www.arheart.com/",-92.393276959,34.7391732040001,"72211",112,"General Acute Care"
1851,"The Bridgeway","21 Bridgeway Road, North Little Rock, AR 72113","(501) 771-1500","http://www.thebridgeway.com",-92.3547676269999,34.822066652,"72113",100,"Psychiatric"
1852,"Community Medical Center of Izard County","61 Grasse St, Calico Rock, AR 72519","(870) 297-3726","http://www.cmcofic.org",-92.128087168,36.1267768540001,"72519",25,"Critical Access"
1853,"Northwest Medical Center","609 West Maple Avenue, Springdale, AR 72764","(479) 751-5711","http://www.northwesthealth.com",-94.13664285,36.179877156,"72764",222,"General Acute Care"
1854,"Siloam Springs Regional Hospital","603 N. Progress Avenue, Siloam Springs, AR 72761","(479) 524-4141","http://www.ssrh.net/Pages/home.aspx",-94.50714921,36.1899355240001,"72761",42,"General Acute Care"
1855,"Healthsouth Rehabilitation Hospital of Jonesboro","1201 Fleming Avenue, Jonesboro, AR 72401","(870) 932-0440","",-90.693035905,35.832677496,"72401",-999,"Rehabilitation"
1856,"Pinnacle Pointe Behavioral Healthcare System","11501 Financial Centre Parkway, Little Rock, AR 72211","(501) 223-3322","",-92.4017145349999,34.7461006030001,"72211",-999,"Psychiatric"
1857,"Regency Hospital of Springdale","609 West Maple Avenue, Springdale, AR 72764","(479) 757-2600","",-94.1369787849999,36.1805384580001,"72764",25,"General Acute Care"
1858,"North Metro Medical Center","1400 Braden Street, Jacksonville, AR 72076","(501) 985-7000","http://www.chghospitals.com/littlerock/",-92.125475147,34.873165726,"72076",113,"General Acute Care"
1859,"Arkansas Department of Correction - Ouachita River Unit Inpatient Care Facility","100 Walco Lane, Malvern, AR 72104","(501) 467-3400","",-92.8427004119999,34.3448684680001,"72104",28,"General Acute Care"
1860,"Centura Health-Porter Adventist Hospital","2525 s Downing St, Denver, CO 80210","(303) 778-1955","http://www.porterhospital.org/",-104.974379115,39.6703662510001,"80210",368,"General Acute Care"
1861,"Centura Health-St Francis Medical Center","6001 e Woodmen Road, Colorado Springs, CO 80923","(719) 571-1000","http://www.centura.org",-104.717481996,38.9386391090001,"80923",195,"General Acute Care"
1862,"Centura Health-St Mary Corwin Medical Center","1008 Minnequa Ave, Pueblo, CO 81004","(719) 557-4000","http://www.stmarycorwin.org/",-104.622577678,38.2338033560001,"81004",408,"General Acute Care"
1863,"Centura Health-St Thomas more Hospital","1338 Phay Ave, Canon City, CO 81212","(719) 285-2000","http://www.stmhospital.org",-105.230946786,38.4552919110001,"81212",25,"General Acute Care"
1864,"Parker Adventist Hospital","9395 Crown Crest Blvd, Parker, CO 80138","(303) 269-4000","http://www.parkerhospital.org",-104.77102407,39.5482008060001,"80138",170,"General Acute Care"
1865,"Memorial Hospital Inc","210 Marie Langdon Drive, Manchester, KY 40962","(606) 598-5104","http://www.manchestermemorial.org/",-83.762024017,37.1619776520001,"40962",63,"General Acute Care"
1866,"The Medical Center at Scottsville","456 Burnley Road, Scottsville, KY 42164","(270) 622-2800","http://www.themedicalcenterscottsville.org/",-86.2149691609999,36.7614750290001,"42164",25,"Critical Access"
1867,"Cumberland County Hospital","299 Glasgow Road, Burkesville, KY 42717","(270) 864-2511","http://www.cchospital.org",-85.372962066,36.796194579,"42717",25,"Critical Access"
1868,"Mcdowell Arh Hospital","9879 Kentucky Route 122, Mcdowell, KY 41647","(606) 377-3400","http://www.arh.org",-82.7472078659999,37.456706463,"41647",52,"Critical Access"
1869,"Saint Joseph - Martin","11203 Main Street, Martin, KY 41649","(606) 285-5181","http://www.saintjosephmartin.org",-82.750307752,37.57882455,"41649",25,"Critical Access"
1870,"The Medical Center at Caverna","1501 S. Dixie Street, Horse Cave, KY 42749","(270) 786-2191","http://www.cavernahospital.com",-85.923038156,37.161306148,"42749",25,"Critical Access"
1871,"The James B. Haggin Memorial Hospital","464 Linden Ave., Harrodsburg, KY 40330","(859) 734-5441","http://www.hagginhosp.org",-84.848739113,37.7570638770001,"40330",25,"Critical Access"
1872,"Whittier Pavilion","76 Summer Street, Haverhill, MA 1830","(978) 373-8222","http://www.whittierhealth.com/psychiatric_hospital/",-71.0731763699999,42.778546964,"1830",10,"Psychiatric"
1873,"Vibra Hospital of Western Massachusetts","1400 State Street, Springfield, MA 1109","(413) 787-6700","http://www.vhwmass.com/",-72.547438415,42.120518363,"1109",127,"Long Term Care"
1874,"Univerity of Md Baltimore Washington Medical Center","301 Hospital Drive, Glen Burnie, MD 21061","(410) 595-1967","http://www.mybwmc.org/",-76.6232388559999,39.137667675,"21061",293,"General Acute Care"
1875,"Walter p Carter Center","630 w Fayette Street, Baltimore, MD 21201","(410) 209-6201","http://www.umms.org/ummsmap/html/walter-carter.htm‎",-76.625946137,39.290565584,"21201",108,"Psychiatric"
1876,"Eastern Shore Hospital Center","Post Office Box 800, Cambridge, MD 21613","(410) 221-2525","http://www.dhmh.state.md.us/eshc",-76.065328001,38.540627217,"21613",80,"Psychiatric"
1877,"University of Maryland Harford Memorial Hospital","501 South Union Avenue, Havre De Grace, MD 21078","(443) 643-3303","http://umuch.org/",-76.0908360029999,39.54309348,"21078",85,"General Acute Care"
1878,"Adventist Healthcare Behavioral Health & Wellness","14901 Broschart Road, Rockville, MD 20850","(301) 838-4959","http://www.adventistbehavioralhealth.com",-77.198958069,39.099862853,"20850",107,"Psychiatric"
1879,"Medstar Southern Maryland Hospital Center","7503 Surratts Road, Clinton, MD 20735","(301) 868-8000","https://www.medstarhealth.org/southern-maryland/pages/default.aspx",-76.8758318659999,38.748136539,"20735",192,"General Acute Care"
1880,"Dorothea Dix Psychiatric Center","656 State Street, Bangor, ME 4401","(207) 941-4000","http://www.maine.gov/dhhs/ddpc/index.shtml",-68.7414200709999,44.8177986160001,"4401",100,"Psychiatric"
1881,"Kidspeace National Centers of New England","16 Kidspeace Way, Ellsworth, ME 4605","(207) 667-0909","http://www.kidspeace.org/",-68.433590639,44.5902024370001,"4605",-999,"General Acute Care"
1882,"Penobscot Bay Medical Center","6 Glen Cove Drive, Rockport, ME 4856","(207) 596-8000","http://www.penbayhealthcare.org/penbaymedicalcenter/page/about_our_facility/",-69.0845463329999,44.1441014310001,"4856",109,"General Acute Care"
1883,"Promedica Herrick Hospital","500 e Pottawatamie Street, Tecumseh, MI 49286","","http://www.promedica.org",-83.937822392,42.0025910580001,"49286",25,"Critical Access"
1884,"Hayes Green Beach Memorial Hospital","321 e Harris Street, Charlotte, MI 48813","","http://www.hgbhealth.com",-84.831951958,42.5653254970001,"48813",25,"Critical Access"
1885,"Mckenzie Memorial Hospital","120 Delaware Street, Sandusky, MI 48471","","http://www.mckenziehealth.org",-82.832133445,43.423482327,"48471",25,"Critical Access"
1886,"Marlette Regional Hospital","2770 Main Street, Marlette, MI 48453","","http://www.marletteregionalhospital.org",-83.0810215389999,43.3327194130001,"48453",25,"Critical Access"
1887,"Kalkaska Memorial Health Center","419 s Coral, Kalkaska, MI 49646","","http://www.munsonhealthcare.org",-85.1842968499999,44.731290862,"49646",8,"Critical Access"
1888,"Schoolcraft Memorial Hospital","7870w Us Hwy 2, Manistique, MI 49854","","http://www.scmh.org/",-86.2761538519999,45.946684003,"49854",12,"Critical Access"
1889,"Sparrow Ionia Hospital","3565 s State Road, Ionia, MI 48846","","http://www.sparrow.org/sparrowionia",-85.0679674199999,42.9359308740001,"48846",22,"Critical Access"
1890,"Promedica Monroe Regional Hospital","718 n Macomb St, Monroe, MI 48162","","https://www.promedica.org/monroe-regional-hospital/Pages/default.aspx",-83.388084901,41.924565011,"48162",217,"General Acute Care"
1891,"Spectrum Health United Memorial - United Campus","615 s Bower Street, Greenville, MI 48838","","http://www.spectrum-health.org/",-85.269349474,43.174691851,"48838",49,"General Acute Care"
1892,"St John Macomb-Oakland Hospital-Macomb Center","11800 East Twelve Mile Road, Warren, MI 48093","","http://www.stjohnprovidence.org/macomb",-83.004942707,42.505813247,"48093",348,"General Acute Care"
1893,"Henry Ford Macomb Hospital-Mt Clemens Campus","215 North Ave., Mount Clemens, MI 48043","","https://www.henryford.com/locations/mt-clemens-campus",-82.880906791,42.606864456,"48043",-999,"General Acute Care"
1894,"Mclaren Orthopedic Hospital","2727 s Pennsylvania, Lansing, MI 48910","","http://www.mclaren.org/orthopedichospital/OrthopedicHospital.aspx",-84.5350301939999,42.7033044670001,"48910",53,"General Acute Care"
1895,"Eaton Rapids Medical Center","1500 s Main Street, Eaton Rapids, MI 48827","","http://www.eatonrapidsmedicalcenter.org",-84.6586512759999,42.4952522890001,"48827",20,"General Acute Care"
1896,"Midmichigan Medical Center-Gratiot","300 e Warwick Dr, Alma, MI 48801","","http://www.midmichigan.org/gratiot",-84.66330985,43.3907292710001,"48801",67,"General Acute Care"
1897,"Mercy Health Muskegon Sherman Blvd","1500 e Sherman Boulevard, Muskegon, MI 49444","","http://www.mercyhealthmuskegon.com/welcome-mhmuskegon",-86.208605042,43.205793735,"49444",196,"General Acute Care"
1898,"Caro Community Hospital","401 n Hooper Street, Caro, MI 48723","","http://www.cch-mi.org",-83.408206106,43.493186859,"48723",25,"General Acute Care"
1899,"Lake Huron Medical Center","2601 Electric Avenue, Port Huron, MI 48060","","http://www.mercyporthuron.com",-82.4333904169999,42.955942806,"48060",144,"General Acute Care"
1900,"St Mary Mercy Hospital","36475 Five Mile Road, Livonia, MI 48154","","http://www.stmarymercy.org",-83.40817063,42.3937650510001,"48154",273,"General Acute Care"
1901,"St John Hospital and Medical Center","22101 Moross Rd, Detroit, MI 48236","","http://www.stjohn.org",-82.914340787,42.4199726270001,"48236",673,"General Acute Care"
1902,"Beaumont Hospital Trenton","5450 Fort Street, Trenton, MI 48183","","https://www.oakwood.org/beaumont-hospital-trenton",-83.213478131,42.116989967,"48183",193,"General Acute Care"
1903,"Garden City Hospital","6245 Inkster Rd, Garden City, MI 48135","","http://www.gchosp.org",-83.314984526,42.332135443,"48135",323,"General Acute Care"
1904,"Munson Healthcare Cadillac","400 Hobart St, Cadillac, MI 49601","","http://www.munsonhealthcare.org/cadillachospital",-85.389295218,44.245448363,"49601",49,"General Acute Care"
1905,"Spectrum Health - Blodgett Campus","1840 Wealthy St Se, Grand Rapids, MI 49506","","http://www.spectrumhealth.org/body_locations.cfm?id=638&action=detail&ref=1808",-85.623317333,42.9536506320001,"49506",319,"General Acute Care"
1906,"Aspirus Ironwood Hospital","N10561 Grand View Lane, Ironwood, MI 49938","","http://www.gvh.org",-90.1067333029999,46.4807458600001,"49938",25,"General Acute Care"
1907,"Munson Healthcare Charlevoix Hospital","14700 Lakeshore Drive, Charlevoix, MI 49720","","http://www.munsonhealthcare.org/charlevoixhospital",-85.2748625569999,45.314820092,"49720",25,"General Acute Care"
1908,"Schoolcraft Memorial Hospital","500 Main St, Manistique, MI 49854","","http://www.scmh.org/",-86.239522049,45.9582624610001,"49854",25,"General Acute Care"
1909,"Midmichigan Medical Center - Alpena","1501 w Chisholm St, Alpena, MI 49707","","https://www.midmichigan.org/about/our-affiliates/Hospitals/midmichigan-medical-center-alpena/",-83.4493742939999,45.0776729520001,"49707",124,"General Acute Care"
1910,"Henry Ford Medical Center Cottage","159 Kercheval Avenue, Grosse Pointe Farms, MI 48236","","http://www.henryford.com/body.cfm?xyzpdqabc=0&id=47822&action=list&location=6",-82.902414273,42.39693874,"48236",4,"General Acute Care"
1911,"Henry Ford Allegiance Carelink","110 n Elm Avenue, Jackson, MI 49202","","http://www.allegiancehealth.org/services/carelink-long-term-acute-care",-84.385560102,42.2518805940001,"49202",64,"Long Term Care"
1912,"Vibra of Southeastern Michigan","26400 w Outer Drive, Lincoln Park, MI 48146","","http://www.vhsemichigan.com/",-83.163895338,42.256311789,"48146",192,"Long Term Care"
1913,"Brighton Hospital","12851 e Grand River, Brighton, MI 48116","","http://www.brightonhospital.org",-83.6958334129999,42.519720029,"48116",41,"Rehabilitation"
1914,"Rehabilitation Institute of Michigan","261 Mack Blvd, Detroit, MI 48201","","http://www.rimrehab.org",-83.055602924,42.349710128,"48201",74,"Rehabilitation"
1915,"Rogers City Rehabilitation Hospital","555 n Bradley Highway, Rogers City, MI 49779","","http://www.rogerscityrehab.com",-83.835275574,45.4221141620001,"49779",28,"Rehabilitation"
1916,"Southeast Michigan Surgical Hospital","21230 Dequindre Road, Warren, MI 48091","","http://www.nshinc.com",-83.081603741,42.4516564670001,"48091",20,"Special"
1917,"Appleton Municipal Hospital","30 South Behl Street, Appleton, MN 56208","(320) 289-2422","http://www.appletonareahealth.org",-96.008899684,45.1999249340001,"56208",15,"Critical Access"
1918,"Centracare Health System-Long","50 Center Care Drive, Long Prairie, MN 56347","(320) 732-2141","http://www.centracare.com/locations/long-prairie/",-94.8484453789999,45.973532791,"56347",34,"Critical Access"
1919,"Essentia Health Sandstone","705 Lundrorff Dr, Sandstone, MN 55072","(320) 245-5600","http://www.pinemedicalcenter.org",-92.865316605,46.126794873,"55072",30,"Critical Access"
1920,"Lakewood Health Center","600 South Main, Baudette, MN 56623","(218) 634-2120","http://www.lakewoodhealthcenter.org",-94.600416696,48.70658326,"56623",15,"Critical Access"
1921,"Renville County Hosp & Clinics","100 Healthy Way, Olivia, MN 56277","(320) 523-1261","http://www.rchospital.com/",-94.972424855,44.7745817690001,"56277",16,"Critical Access"
1922,"Cox Medical Centers Meyer Orthopedic","3535 S. National Ave., Springfield, MO 65807","(417) 269-9800","https://www.coxhealth.com/our-hospitals-and-clinics/our-locations/meyer-orthopedic-rehabilitation-hospital/",-93.27958382,37.150727703,"65807",86,"Rehabilitation"
1923,"Liberty Hospital","2525 Glenn Hendren, Liberty, MO 64068","(816) 781-7200","http://www.libertyhospital.org",-94.423707205,39.2752421380001,"64068",226,"General Acute Care"
1924,"St. Luke's Northland Hospital - Smithville","601 South 169 Highway, Smithville, MO 64089","(816) 532-3700","https://www.saintlukeskc.org/locations/saint-lukes-north-hospital-smithville?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link",-94.581420849,39.3765090920001,"64089",64,"General Acute Care"
1925,"Mercy Hospital Carthage","3125 Dr Russell Smith Way, Carthage, MO 64836","(417) 358-8121","https://www.mercy.net/practice/mercy-hospital-carthage",-94.321103992,37.1362114940001,"64836",25,"Critical Access"
1926,"Center for Behavioral Medicine","1000 East 24th Street, Kansas City, MO 64108","(816) 512-7477","http://www.dmhonline.dmh.state.mo.us",-94.572424755,39.0850532000001,"64108",-999,"Psychiatric"
1927,"Research Medical Center - Brookside Campus","6601 Rockhill Road, Kansas City, MO 64131","(816) 276-4000","http://www.researchmedicalcenter.com",-94.577730957,39.007231635,"64131",487,"General Acute Care"
1928,"Truman Medical Center - Hospital Hill","2301 Holmes Street, Kansas City, MO 64108","(816) 404-1000","https://hospitalhillkc.org/",-94.575316781,39.084536153,"64108",199,"General Acute Care"
1929,"Mosaic Life Care at St. Joseph","5325 Faraon Street, St. Joseph, MO 64506","(816) 271-6000","https://www.mymosaiclifecare.org",-94.7708880119999,39.772679606,"64506",352,"General Acute Care"
1930,"Ssm St. Clare Health Center","1015 Bowles Ave, Fenton, MO 63026","(636) 496-2000","https://www.ssmhealth.com/locations/st-clare-hospital-fenton?utm_id=gmb18-13",-90.476414355,38.5279236590001,"63026",180,"General Acute Care"
1931,"Christian Hospital Northwest","11133 Dunn Rd, Florissant, MO 63031","(314) 953-6000","http://www.christianhospital.org/",-90.336578149,38.7799825440001,"63031",3,"General Acute Care"
1932,"Des Peres Hospital","2345 Dougherty Ferry Road, St. Louis, MO 63122","(314) 966-9100","https://www.stlukes-stl.com/DesPeres/emergency/index.html",-90.4517923219999,38.5843307230001,"63122",143,"General Acute Care"
1933,"Select Specialty Hospital-St. Louis","300 1st Capitol Drive, St. Charles, MO 63301","(636) 947-5010","https://www.selectspecialtyhospitals.com/",-90.483497438,38.7804756080001,"63301",33,"Long Term Care"
1934,"Missouri Baptist Hospital of Sullivan","751 Sappington Bridge Road, Boonville, MO 63080","(573) 468-4186","http://www.missouribaptistsullivan.org",-91.170642401,38.195829614,"63080",35,"Critical Access"
1935,"i-70 Community Hospital","105 Hospital Drive, Sweet Springs, MO 65351","(660) 335-4700","http://i70hospital.com/",-93.4166345369999,38.9787051320001,"65351",15,"Critical Access"
1936,"Ssm Health St. Louis University Hospital","3635 Vista, St. Louis, MO 63111","(314) 577-8000","http://www.ssmhealth.com/sluhospital",-90.238686224,38.622956052,"63111",344,"General Acute Care"
1937,"Lakeland Behavioral Health System","440 South Market, Springfield, MO 65806","(417) 221-4854","https://www.lakelandbehavioralhealth.com/",-93.295218615,37.205801256,"65806",122,"Psychiatric"
1938,"Mercy Hospital Jefferson","1400 Highway 61 South, Crystal City, MO 63019","(636) 933-1000","http://www.mercy.net/newsroom-mercy-hospital-jefferson",-90.3936026379999,38.1966694550001,"63019",251,"General Acute Care"
1939,"Twin Rivers Regional Medical Center","1301 First Street, Kennett, MO 63857","(573) 888-8522","http://www.twinriversregional.com/",-90.041166989,36.235403299,"63857",116,"General Acute Care"
1940,"Mercy Hospital Lincoln","1000 East Cherry, Troy, MO 63379","(636) 528-8551","https://www.mercy.net/practice/mercy-hospital-lincoln",-90.963652409,38.983486042,"63379",25,"Critical Access"
1941,"Boone Hospital Center","1600 East Broadway, Columbia, MO 65201","(573) 815-8000","http://www.boone.org",-92.315813084,38.949296788,"65201",392,"General Acute Care"
1942,"Rusk Rehab Center, a Jv of Healthsouth & Univ.","315 Business Loop 70 West, Columbia, MO 65203","(573) 817-2703","http://healthsouthruskrehab.com/",-92.342104423,38.966382051,"65203",60,"Rehabilitation"
1943,"University of Missouri Health Care","One Hospital Drive, Columbia, MO 65212","(573) 882-4141","http://www.muhealth.org",-92.328178114,38.9383836580001,"65212",-999,"General Acute Care"
1944,"Citizens Memorial Hospital","1500 North Oakland Ave, Bolivar, MO 65613","(417) 328-6040","http://www.citizensmemorial.com",-93.4201139509999,37.6264835010001,"65613",86,"General Acute Care"
1945,"Carroll County Memorial Hospital","1502 North Jefferson, Carrollton, MO 64633","(660) 542-1695","http://www.carrollcountyhospital.org",-93.4933903789999,39.376912077,"64633",25,"Critical Access"
1946,"Bothwell Regional Health Center","601 East 14th Street, Sedalia, MO 65301","(660) 826-8833","http://www.brhc.org",-93.221586111,38.6995744490001,"65301",145,"General Acute Care"
1947,"Harrison County Community Hospital","2600 Miller Street, Bethany, MO 64424","(660) 425-2211","http://www.hcchospital.org",-94.025658587,40.2645388070001,"64424",19,"Critical Access"
1948,"Western Missouri Medical Center","403 Burkarth Road, Warrensburg, MO 64093","(660) 747-2500","http://www.wmmc.com",-93.722295168,38.7659332750001,"64093",75,"General Acute Care"
1949,"Cox Monett Hospital","801 North Lincoln Avenue, Monett, MO 65708","(417) 235-3144","http://www.coxhealth.com/body.cfm?id=1341",-93.930746982,36.92700362,"65708",25,"Critical Access"
1950,"Barnes-Jewish Hospital - North","One Barnes-Jewish Hospital Plaza, St. Louis, MO 63110","(314) 747-3000","http://www.barnesjewish.org",-90.264582805,38.6363787870001,"63110",1110,"General Acute Care"
1951,"Barnes-Jewish Hospital - Psychiatric Support Center","5355 Delmar Blvd, St. Louis, MO 63112","(314) 273-0050","http://www.barnesjewish.org/Medical-Services/Psychiatry",-90.275501623,38.6538783120001,"63112",50,"Psychiatric"
1952,"Kindred Hospital - St. Louis","4930 Lindell Boulevard, St. Louis, MO 63108","(314) 361-8700","https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-st-louis",-90.263124215,38.643073245,"63108",60,"General Acute Care"
1953,"Panola Medical Center","303 Medical Center, Batesville, MS 38606","(662) 563-5611","https://www.panolamedicalcenter.org/",-89.9146018799999,34.306298142,"38606",112,"General Acute Care"
1954,"Pearl River County Hospital","305 West Moody Street, Poplarville, MS 39470","(601) 795-4543","",-89.542010632,30.856540098,"39470",24,"Critical Access"
1955,"Walthall County General Hospital","100 Hospital Drive, Tylertown, MS 39667","(601) 876-2122","http://www.walthallhospitalms.org",-90.1557677339999,31.1203714320001,"39667",25,"Critical Access"
1956,"Choctaw County Medical Center","148 West Cherry Street, Ackerman, MS 39735","(662) 285-6235","http://choctawcountyms.com/our-community/county-profile/health-care/",-89.174605071,33.313127114,"39735",25,"General Acute Care"
1957,"Winston Medical Center","562 East Main, Louisville, MS 39339","(662) 773-6211","http://www.winstonmedical.org",-89.035854655,33.12302393,"39339",27,"General Acute Care"
1958,"Clay County Medical Corporation","835 Medical Center Drive, West Point, MS 39773","(662) 495-2300","http://www.nmhs.net/westpoint/",-88.662377835,33.619396387,"39773",60,"General Acute Care"
1959,"Merit Health Gilmore Memorial","1105 Earl Frye Boulevard, Amory, MS 38821","(662) 256-7111","http://www.merithealthgilmore.com/",-88.476604472,33.9777292530001,"38821",95,"General Acute Care"
1960,"Madison County Medical Center","1421 East Peace Street, Canton, MS 39046","(601) 859-1331","http://www.madisonriveroaks.com",-90.002570357,32.610806918,"39046",67,"General Acute Care"
1961,"Yalobusha General Hospital","630 S. Main Street, Water Valley, MS 38965","(662) 473-1411","http://yalobushageneral.com/",-89.642088702,34.1312556120001,"38965",26,"General Acute Care"
1962,"Southwest Ms Regional Medical Center","215 Marion Avenue, Mccomb, MS 39649","(601) 249-5500","http://www.smrmc.com",-90.473955594,31.251010227,"39649",160,"General Acute Care"
1963,"Frances Mahon Deaconess Hospital","621 3rd St S, Glasgow, MT 59230","(406) 228-3500","http://www.fmdh.org",-106.635225703,48.189422041,"59230",25,"Critical Access"
1964,"Firsthealth Moore Reg. Hosp. and Pinehurst Treatment","155 Memorial Drive, Pinehurst, NC 28374","(910) 215-1000","http://www.firsthealth.org",-79.456438527,35.2052993510001,"28374",372,"General Acute Care"
1965,"Carrington Health Center","800 4th St N, Carrington, ND 58421","(701) 652-3141","http://www.carringtonhealthcenter.org/",-99.1238200239999,47.4542295860001,"58421",25,"Critical Access"
1966,"Altru Hospital","1200 s Columbia Rd, Grand Forks, ND 58201","(701) 780-5000","http://www.altru.org",-97.0686861949999,47.910573,"58201",257,"General Acute Care"
1967,"Nebraska Orthopaedic Hospital","2808 South 143rd Plz, Omaha, NE 68144","(402) 609-1600","http://www.nohmail.com",-96.135637117,41.2328697720001,"68144",24,"Special"
1968,"Franklin County Memorial Hospital","1406 q St, Franklin, NE 68939","(308) 425-6221","http://www.fcmh.com",-98.954132565,40.101828981,"68939",14,"Critical Access"
1969,"Boone County Health Center","723 West Fairview St, Albion, NE 68620","(402) 395-2191","http://www.boonecohealth.org",-98.005740155,41.683040809,"68620",25,"Critical Access"
1970,"Pender Community Hospital","100 Hospital Drive, Pender, NE 68047","(402) 385-3083","http://www.pendercommunityhospital.com",-96.710940422,42.10666503,"68047",21,"Critical Access"
1971,"Seton Highland Lakes","3201 s Water Street, Burnet, TX 78611","(512) 715-3000","http://www.seton.net",-98.236858653,30.733058471,"78611",25,"Critical Access"
1972,"Osu James Cancer Hospital & Solove Research Institute","300 West Tenth Avenue, Columbus, OH 43210","(614) 293-3121","https://cancer.osu.edu",-83.01673059,39.995582196,"43210",306,"General Acute Care"
1973,"Metropolitano Psiquiatrico De Cabo Rojo","108 Munoz Rivera Street, Cabo Rojo Pueblo, PR 623","(787) 851-2025","",-67.147327525,18.0857322970001,"623",43,"Psychiatric"
1974,"Hampton Behavioral Health Center","650 Rancocas Road, Westampton Township, NJ 8060","(609) 267-7000","http://www.hamptonhospital.com",-74.846858197,40.008191218,"8060",110,"Psychiatric"
