"ID","org","address","phone","email","website","lon","lat","zipcode","capacity_hours"
4358,"Ps 197","2230 5th Ave, New York, NY 10037-2102","212-690-1045","","",-73.93741684,40.81310234,"10037",40
4359,"Altamed Pace - Covina","535 S 2nd Ave, Covina, CA 91723-3013","323-725-8751","","http://www.altamed.org",-117.88791665,34.08006591,"91723",45
4360,"New Horizons Dental Care, Southeast","321 Tazewell Ave SE, Roanoke, VA 24013-1445","540-362-0360 x171","","http://newhorizonshealthcare.org",-79.93601317,37.27022187,"24013",32
4361,"Fcch/Los Lunas Center","145 Don Pasqual Rd NW, Los Lunas, NM 87031-8841","505-865-4618","","http://www.fcch.com",-106.74093136,34.81093123,"87031",54
4362,"Fannin County Medical and Admin Consolidated Site","165 Blue Ridge Overlook, Blue Ridge, GA 30513-4431","706-946-4647","","",-84.32688325,34.87377775,"30513",45
4363,"Buhl Farm Community Health Center","220 N Buhl Farm Dr, Hermitage, PA 16148-1786","724-342-2789","","http://www.primary-health.net",-80.47144502,41.23660325,"16148",43.5
4364,"Roosevelt School Health Center","1006 Grafton St, Worcester, MA 01604-2034","508-798-3229","","http://www.kennedychc.org",-71.75656832,42.24368505,"01604",4.5
4365,"Lake Aire Medical Center","2423 Williams Dr, Georgetown, TX 78628-3200","877-800-5722","","http://www.lscctx.org",-97.68931033,30.65991023,"78628",64
4366,"Charlotte Community Health Clinic","8401 Medical Plaza Dr Ste 300, Charlotte, NC 28262-8702","704-316-6561","","http://charlottecommunityhealthclinic.org/",-80.7757737,35.31910534,"28262",42
4367,"Nems Administrative Building - Broadway","369 Broadway, San Francisco, CA 94133-4594","415-391-9686","","http://www.nems.org/",-122.40332643,37.79826767,"94133",42.5
4368,"Lucedale Health Center","11231 Old 63 S, Lucedale, MS 39452-4941","601-947-8268","","",-88.55556631,30.92613172,"39452",40
4369,"Keuka College Family Planning","141 Central Ave, Keuka Park, NY 14478-9764","315-536-2752","","",-77.09186068,42.61532377,"14478",4
4370,"Stowe Family Practice","1878 Mountain Rd Ste 3, Stowe, VT 05672-4775","","","http://www.chslv.org",-72.71362847,44.47405543,"05672",46
4371,"Altamed Patient Service Center","401 N East St, Anaheim, CA 92805-3338","888-499-9303","","http://www.altamed.org",-117.90392329,33.84184688,"92805",NA
4372,"Clinica Tepeyac - Clinic","5075 Lincoln St, Denver, CO 80216-2015","303-458-5302","","http://www.clinicatepeyac.org",-104.98641649,39.78852299,"80216",47
4373,"Chcs of Western Kentucky Pediatric and Adolescent Medicine","504 Hopkinsville St, Greenville, KY 42345-1104","270-338-6488","","",-87.19110429,37.19703932,"42345",47.5
4374,"Sea Mar Chc - Mercy Housing Bellingham","512 Sterling Dr, Bellingham, WA 98226-5503","360-788-7110","","",-122.4977702,48.7838615,"98226",4
4375,"Zuckerberg San Francisco General Hospital","1001 Potrero Ave, San Francisco, CA 94110-3518","415-206-8238","","",-122.405667266998,37.7560908357035,"94110",168
4376,"Community-University Health Care Center","2001 Bloomington Ave, Minneapolis, MN 55404-3074","612-301-3433","","http://www.cuhcc.umn.edu",-93.25226168,44.96242513,"55404",57.5
4377,"Hope Clinic Waxahachie","411 E Jefferson St, Waxahachie, TX 75165-3827","972-923-2440","","",-96.84463067,32.38290093,"75165",54
4378,"Community Health Services at Windsor","503 Windsor Ave, Windsor, CT 06095-4015","860-249-9625","","",-72.65687045,41.8192031,"06095",40
4379,"North Haven Medical Clinic","135 Main St, North Haven, ME 04853-3320","207-867-2021","","",-68.87562482,44.13015494,"04853",8
4380,"Family Health Center","200 Kendall Dr, Lamar, CO 81052-3940","719-336-8445","","http://www.highplainschc.net",-102.61113172,38.06855622,"81052",48
4381,"Community Medical Wellness Centers Usa","1360 E Anaheim St Ste 101, Long Beach, CA 90813-5515","562-270-0324","","http://www.cmwcusa.org",-118.17431099,33.782274,"90813",40
4382,"Parkersburg Family Care – Westbrook","2121 7th St, Parkersburg, WV 26101-3803","304-485-1721","","",-81.52102804,39.26865198,"26101",30
4383,"Independence Health Center at Jcmh","4851 Independence St, Wheat Ridge, CO 80033-6715","303-761-1977","","",-105.10493778,39.78480655,"80033",7.5
4384,"Boulder Shelter for the Homeless","4869 Broadway St, Boulder, CO 80304-0523","303-442-4646","","http://www.clinica.org",-105.28217989,40.06258297,"80304",6
4385,"Cornerstone Family Healthcare Middletown Dentistry","27 North St, Middletown, NY 10940-5012","845-342-3900","","http://www.cornerstonefamilyhealthcare.org",-74.41974772,41.44582138,"10940",35
4386,"Owen Primary","1925 Highway 22 E, Owenton, KY 40359-9044","859-567-1720","","",-84.80911552,38.52288293,"40359",20
4387,"Sjwcfc 50th Street Dental Clinic at Boys & Girls Club","1000 W 50th St, Los Angeles, CA 90037-2924","323-541-1411","","",-118.29187349,33.99772851,"90037",8.5
4388,"Carroll County Alternative Learning Center","519 Park Ave, Carrollton, KY 41008-8301","859-567-1720","","",-85.15894472,38.6798738,"41008",20
4389,"Oda Primary Health Care Center","54 Rutledge St, Brooklyn, NY 11249-7814","718-260-4600","","",-73.95963617,40.70034125,"11249",66
4390,"Family Health Center of Boone County","1001 W Worley St, Columbia, MO 65203-2037","573-214-2314","","http://www.fhcmo.org",-92.35281054,38.95951352,"65203",44
4391,"Completecare Vineland Health Campus","785 W Sherman Ave, Vineland, NJ 08360-6913","856-451-4700","","http://www.completecarenj.org",-75.04396535,39.44677154,"08360",64.5
4392,"Millvale at Hopple Street Health Center","2750 Beekman St, Cincinnati, OH 45225-2049","513-352-3192","",NA,-84.54776042,39.13577272,"45225",44
4393,"West Harlem","138 W 143rd St, New York, NY 10030-1615","212-749-1820","","",-73.93897404,40.81985981,"10030",24
4394,"Perinatal & Women's Health Suite","880 Las Gallinas Ave Ste 2, San Rafael, CA 94903-3437","415-339-8813","","http://www.marincityclinic.com",-122.547807,38.00769299,"94903",30
4395,"Petworth Dc Program Office","4302 Georgia Ave NW, Washington, DC 20011-7122","202-420-7178","","http://www.maryscenter.org",-77.02607249,38.943135,"20011",45
4396,"Heritage Health Post Falls High School Sbhc","2832 E Poleline Ave, Post Falls, ID 83854-7090","208-292-0292","","",-116.90924197,47.73037947,"83854",20
4397,"Muskingum Valley Health Centers","1230 Clark St, Cambridge, OH 43725-9611","740-439-9911","","",-81.57710641,40.03871526,"43725",40
4398,"Dfd Russell Medical Center - Turner","7 Main St, Turner, ME 04282-4138","207-524-3501","","http://www.dfdrussell.org",-70.25984535,44.24530716,"04282",47.5
4399,"Saluda Family Practice","219 Greenwood Hwy, Saluda, SC 29138-1143","864-445-2181","","http://www.carolinahealthcenters.org",-81.77880773,34.00731988,"29138",40
4400,"Teche Action Clinic @ Morgan City","1124 7th St, Morgan City, LA 70380-1951","337-828-2550","","http://www.tabhealth.org",-91.2035745,29.704581,"70380",40
4401,"Indian Lake Health Center","6356 Nys Route 30, Indian Lake, NY 12842-2021","518-648-5707","","http://www.hhhn.org",-74.27242989,43.78296039,"12842",40
4402,"Family Health Care Clinic, Inc.--Grenada","1732 Commerce St, Grenada, MS 38901-4615","662-227-0187","","http://familyhealthcareclinic.com",-89.80889506,33.76510431,"38901",44
4403,"Echo Division Street Family Clinic","25 W Division St, Evansville, IN 47710-1374","812-436-4501","","http://www.echochc.org",-87.56509759,37.97748092,"47710",46.5
4404,"Wesley Health Centers-- Vermont Annex","964 N Vermont Ave, Los Angeles, CA 90029-3529","562-867-7999","","http://www.jwchinstitute.org",-118.29172454,34.089255,"90029",40
4405,"Pendleton County High School","409 Maple Ave, Franklin, WV 26807","304-358-3254","","http://www.pcc-nfc.org",-79.32498857,38.65212179,"26807",4
4406,"Southwestern School District #9","8226 Route 111, Piasa, IL 62079-2051","618-372-3813","","",-90.14178261,39.11814246,"62079",8
4407,"Community Health Centers Oceano","1981 Cienaga St, Oceano, CA 93445-9029","805-270-0025","","http://www.chccc.org",-120.60983233,35.09818145,"93445",40
4408,"Sunset Elementary School","5120 SW 72nd St, Miami, FL 33143","305-661-8527","","",-80.27589855,25.70483549,"33143",40
4409,"La Familia Medical Center","1035 Alto St, Santa Fe, NM 87501-2406","505-982-4425","","http://www.lafamiliasf.org",-105.95958529,35.68631846,"87501",56
4410,"Yazoo City High School","1825 Dr Martin Luther King Jr Dr, Yazoo City, MS 39194","662-746-1514","","http://www.gacfhc.org",-90.41119686,32.87882152,"39194",16
4411,"Family Medical Center - Bedford Sr High","8285 Jackman Rd Rm 815, Temperance, MI 48182-9165","734-654-2169","","",-83.59176599,41.76449099,"48182",8
4412,"Cabun Rural Health Services, Inc.","402 N Lee St, Hampton, AR 71744-8937","870-798-4299","","http://cabun.org",-92.46895979,33.54224564,"71744",38
4413,"Living Well - Kphc Central","860 Fourth St, Pearl City, HI 96782","808-429-0871","","",-157.96962021,21.39251594,"96782",40
4414,"Woodworth Community Health Center","9372 Highway 165 S, Woodworth, LA 71485-9786","504-575-3700","","",-92.49701109,31.148397,"71485",40
4415,"Community Care Family Healthcare Center Building d","707 N 12th Ave, Arcadia, FL 34266-8752","941-776-4000","","http://www.mcrhs.org",-81.84604345,27.22301927,"34266",40
4416,"Community Health Systems","252 Rural Acres Dr, Beckley, WV 25801-3503","304-255-6800","","",-81.17983008,37.79180649,"25801",40
4417,"Eddie Fernandez House","1215 Seneca Ave, Bronx, NY 10474-4620","718-378-3334","","http://www.urbanhealthplan.org",-73.88780429,40.81883932,"10474",3
4418,"Third Street Ob/Gyn","770 Balgreen Dr, Mansfield, OH 44906-4106","419-522-6800","","",-82.55356305,40.73859214,"44906",40
4419,"Healthfirst Bluegrass Mobile 1 Dental Clinic","496 Southland Dr, Lexington, KY 40503-1827","859-288-2417","","",-84.52851137,38.02077784,"40503",32
4420,"Mountain Health Family Medicine","1388 Buckman Springs Rd, Campo, CA 91906-2028","619-445-6200 x161","","http://www.mtnhealth.org",-116.47309807,32.63041586,"91906",40
4421,"Southern West Virginia Health System-Man","600 E Mcdonald Ave, Man, WV 25635-1023","304-583-8585","","",-81.87532536,37.73354383,"25635",48
4422,"T.h.e. Clinic Inc. at Lennox School District","10223 Firmona Ave, Inglewood, CA 90304-1421","323-730-1920","","",-118.35704562,33.94299583,"90304",40
4423,"Athens Neighborhood Health Center - Administration","135 Athens West Pkwy, Athens, GA 30606-6949","706-850-9041","","",-83.4468096,33.94233618,"30606",NA
4424,"Brass City School Sbhc","289 Willow St, Waterbury, CT 06710-1515","203-527-5942","","",-73.048502,41.56542258,"06710",40
4425,"Mva Health Center - East Fairmont High School Wellness Center","1993 Airport Rd, Fairmont, WV 26554-9138","304-367-0654","","http://www.mvahealth.org",-80.15690704,39.45158369,"26554",5.5
4426,"219 Health Network, Inc.","8141 Kennedy Ave, Highland, IN 46322-1128","219-838-5040","imnajamuddin@219health.org","http://219health.org",-87.46157186,41.56567968,"46322",45
4427,"Community Health Connection Rosa Parks Clinic","13702 E 46th Pl, Tulsa, OK 74134-5919","918-622-0641","","http://www.communityhealthconnection.org",-95.82191999,36.0970815,"74134",40
4428,"Aspire Indiana Health, Inc.","215 W 19th St, Anderson, IN 46016-4204","877-574-1254","barbara.scott@aspireindiana.org","",-85.68278058,40.09736953,"46016",42.5
4429,"Wahiawa Health - Mobile","302 California Ave Ste 106, Wahiawa, HI 96786-1841","808-622-1618","bharbin@wahiawahealth.com","http://www.wahiawahealth.org",-158.031112144788,21.4954011441568,"96786",20
4430,"Jose Roman Pediatric Clinic","125 W Hague Rd Ste 390, El Paso, TX 79902-5818","915-577-4111","","http://www.lafe-ep.org",-106.49907678,31.77052747,"79902",46
4431,"Project Vida Health Center","3607 Rivera Ave, El Paso, TX 79905-2415","915-533-7057 x207","","http://www.projectvidaelpaso.org/",-106.45055983,31.77135148,"79905",40
4432,"Wallace Dental Clinic","18139 NE Couch St, Portland, OR 97230-7281","503-489-1760","","",-122.47673416,45.52274566,"97230",52.5
4433,"Woodland Clinic","1251 Lewis River Rd Ste D, Woodland, WA 98674-9203","360-225-4310","","http://cowlitzfamilyhealth.org",-122.7400084,45.90886169,"98674",47.5
4434,"Hhc-Foose School","1301 Sycamore St, Harrisburg, PA 17104-3410","717-232-9971","","http://www.hamiltonhealthcenter.com",-76.86212656,40.25169999,"17104",40
4435,"Midtown Community Health Center","2240 Adams Ave, Ogden, UT 84401-1511","801-393-5355","",NA,-111.96750647,41.22583205,"84401",65
4436,"Elmwood Place Elementary Sbhc","400 Maple St, Elmwood Place, OH 45216-2128","513-242-1033","","http://winmedinc.org",-84.48801664,39.1875002,"45216",4
4437,"Washington District Elementary School Wellness Center","5078 Tallmansville Rd, Buckhannon, WV 26201-1687","304-924-6262","","",-80.18850929,38.92529108,"26201",8
4438,"Goshen Medical Ctr - Warsaw","603 E College St, Warsaw, NC 28398-2104","910-293-3900","","http://www.goshenmedical.org",-78.08121914,35.00210538,"28398",40
4439,"Silver Avenue Health Center","1525 Silver Ave, San Francisco, CA 94134-1229","415-657-1700","","",-122.40637886,37.73223066,"94134",40
4440,"Midland Community Healthcare Services, Women's Services Clinic","400 Rosalind Redfern Grover Pkwy, Midland, TX 79701-5846","432-681-3100","","http://midlandchs.org",-102.099321,31.996377,"79701",40
4441,"Lakeview Area Clinic","14066 AR-44, Helena, AR 72342","870-827-3201","","http://none",-90.79521766,34.41643536,"72342",14
4442,"Foundcare Health Center","2330 S Congress Ave, West Palm Beach, FL 33406-7608","561-432-5849","","http://www.foundcare.org",-80.08810029,26.64192635,"33406",56
4443,"14th Avenue Clinic","784 14th Ave, Longview, WA 98632-2315","360-703-6400","","http://cowlitzfamilyhealth.org",-122.93928719,46.12815224,"98632",77
4444,"Community Medical Centers, Vacaville","600 Nut Tree Rd Ste 310, Vacaville, CA 95687-4686","707-359-1800","","http://www.communitymedicalcenters.org",-121.9491675,38.361375,"95687",58.5
4445,"Mountain Park Health Center - Goodyear","140 N Litchfield Rd Ste 200, Goodyear, AZ 85338-1226","602-323-3344","","http://www.mountainparkhealth.org",-112.358709,33.447996,"85338",60
4446,"Coconut Grove Health Center","3831 Grand Ave, Miami, FL 33133-4862","305-252-4853","","http://www.chisouthfl.org",-80.25539369,25.72758246,"33133",48
4447,"Rkm Primary Care Livingston","29437 LA-63, Livingston, LA 70754","225-683-5292","","http://www.rkmcare.org",-90.7482544,30.48774452,"70754",45
4448,"Chase Brexton Health Services, Inc.","8221 Teal Dr, Easton, MD 21601-7227","866-260-0412","","",-76.05375783,38.7746303,"21601",40
4449,"Primary Health Care Center Summerville","11638 Highway 27, Summerville, GA 30747-8514","706-996-8251","","http://www.primaryhealthcarecenter.org",-85.33206565,34.49891643,"30747",40
4450,"Teche Action Clinic at Edgard","159 E 3rd St, Edgard, LA 70049-2450","985-497-8726","","http://www.tabhealth.org",-90.55991978,30.04409629,"70049",40
4451,"Nevhc- Newhall Health Center","23413 Lyons Ave, Santa Clarita, CA 91355-3028","661-593-7500","","http://www.nevhc.org",-118.54346471,34.37973863,"91355",65
4452,"Altamed Medical & Dental Group: Anaheim, Lincoln","1814 W Lincoln Ave Ste B, Anaheim, CA 92801-6730","714-780-5690","","",-117.946275058918,33.8324063941687,"92801",45
4453,"Port St. Lucie Childrens Hc","1701 SE Hillmoor Dr Ste 19, Port Saint Lucie, FL 34952-7552","772-335-8455","","http://www.fchcinc.org",-80.29468562,27.28663207,"34952",46
4454,"Mobile Dental Care Clinic","1206 E 17th St Ste 101, Santa Ana, CA 92701-2641","714-352-2911","","",-117.853929441096,33.7597740851816,"92701",30
4455,"Juvenile Justice Center","5665 Roger I Wilson Memorial Dr, Columbia, MO 65202-6522","573-886-4450","","http://www.fhcmo.org",-92.30556245,39.01039388,"65202",8
4456,"Family Christian Health Center","31 W 155th St, Harvey, IL 60426-3556","708-596-5177","","http://www.familychristianhealthcenter.org",-87.65794343,41.60818343,"60426",68
4457,"East Orange Primary Care Center","444 William St, East Orange, NJ 07017-2213","973-675-1900","","http://www.nchcfqhc.org",-74.21328906,40.76575204,"07017",58
4458,"Southwest Health Center","5325 26th St W, Bradenton, FL 34207-3012","941-776-4000","","http://www.mcrhs.org",-82.58759205,27.44626466,"34207",44
4459,"Cross Roads House","600 Lafayette Rd Rm 120, Portsmouth, NH 03801-5435","603-436-2218","","",-70.77035095,43.05307833,"03801",10
4460,"Wa’ab Community Health Center","Keng St, Weloy, Colonia, FM ","691-350-2115","","",138.120991221559,9.51705169237686,"",40
4461,"John Bell Clinic","1207 Chestnut St, Philadelphia, PA 19107-4131","215-985-4448","","",-75.16050299,39.95072999,"19107",40
4462,"Sandhills Medical, Camden Office","2611 Liberty Hill Rd, Camden, SC 29020-1871","803-432-3447","","",-80.61108505,34.2773299,"29020",32
4463,"Naawayee Center School","2421 Bloomington Ave Rm Art, Minneapolis, MN 55404-3918","612-721-1655","","",-93.25235308,44.95830229,"55404",8
4464,"Cfhc Ancillary Services","211 Vance St E, Wilson, NC 27893-4117","252-293-0013","","",-77.90682196,35.72588952,"27893",40
4465,"Phillis Wheatley Community School","2300 Dumaine St, New Orleans, LA 70119-3512","504-667-4327","","",-90.07779743,29.96949248,"70119",40
4466,"Newport School Based Health Center","322 NE Eads St, Newport, OR 97365-2819","541-265-9281","","http://www.co.lincoln.or.us/",-124.04664296,44.63833578,"97365",40
4467,"Bronxcare Health and Wellness Center","199 Mount Eden Pkwy, Bronx, NY 10457-7703","718-518-5068","","",-73.90977238,40.84309446,"10457",68
4468,"Howard Brown Health at Tpan","5537 N Broadway St, Chicago, IL 60640-1405","773-388-1600","","",-87.660022,41.98282784,"60640",48
4469,"Variety Care at Osu-Okc","440 N Portland Ave, Oklahoma City, OK 73107-6110","405-632-6688","","",-97.5832707,35.47009761,"73107",52
4470,"Blue Ridge Health--Swain County Middle School","135 Arlington Ave, Bryson City, NC 28713-9666","828-488-3480","","",-83.44901045,35.42404065,"28713",35
4471,"Access Addison Family Health Center","1111 W Lake St, Addison, IL 60101-1101","630-628-1811","","http://www.accesscommunityhealth.net",-88.01603887,41.94369702,"60101",52.5
4472,"Phoenix Health Center--La Clinica","3617 S Pacific Hwy, Medford, OR 97501-8957","541-535-6239","","http://www.laclinicahealth.org",-122.832391881387,42.2869584689427,"97501",62
4473,"Los Barrios Unidos Community Clinic, Inc.","3111 Sylvan Ave, Dallas, TX 75212-4028","214-571-6132","","http://www.losbarriosunidos.org",-96.8359062,32.78037516,"75212",50
4474,"Goshen Medical Center - Clinton","906 N US 421 Hwy, Clinton, NC 28328-0410","910-592-1462","","http://www.goshenmedical.org",-78.34833457,35.02181294,"28328",40
4475,"Lake Campus","1820 Lowell Blvd, Denver, CO 80204-1549","720-424-0281","","http://www.denverhealth.org",-105.03452294,39.74654456,"80204",40
4476,"Arms Northern Health Center","2817 30th Ave N, Birmingham, AL 35207-4541","205-407-5600","","http://www.alabamaarms.org",-86.81429963,33.5528265,"35207",40
4477,"Healthpoint Florence","7607 Dixie Hwy, Florence, KY 41042-2689","859-655-6100","","http://www.healthpointfc.org",-84.62433204,38.99283029,"41042",73
4478,"Evergreen Family Medical Center","316 S Main St, Evergreen, AL 36401-3325","251-578-2507","","http://www.franklinprimary.org",-86.94298218,31.43105499,"36401",24
4479,"Greater Baden Medical Services at Oxon Hill","6196 Oxon Hill Rd Ste 540, Oxon Hill, MD 20745-3112","301-686-1665","","http://www.gbms.org",-76.982697,38.80350899,"20745",41
4480,"Doddridge County Primary Care","190 Marie St, West Union, WV 26456-1132","304-873-1401","","http://ritchieregional.org",-80.77679224,39.29659613,"26456",40
4481,"Newton Family Health Center","193 Oates Dr, Newton, AL 36352-4312","334-299-3592","","http://n/a",-85.5963383,31.33146134,"36352",40
4482,"Karluk Health Clinic","26 Alex Brown St, Karluk, AK 99608","907-241-2212","","http://www.kodiakhealthcare.org",-154.43743959,57.56380697,"99608",30
4483,"Pancare Health - Franklin County School Dental Clinic","1250 US Highway 98, Eastpoint, FL 32328-3652","850-747-5599","","",-84.81903829,29.76083409,"32328",24
4484,"Sherman Elementary Wellness Center","7487 Coal River Rd, Comfort, WV 25049","304-837-3100","margmartin@frontier.com","",-81.61568395,38.13025535,"25049",20
4485,"Famersville Health Care Center","660 E Visalia Rd, Farmersville, CA 93223-1641","559-594-6788","narroyo@tularehhsa.org","http://www.tchhsa.org",-119.20150316,36.29776152,"93223",52.5
4486,"Piedmont Health Services, Inc. Administrative Offices","88 Vilcom Center Dr Ste 110, Chapel Hill, NC 27514-1660","919-933-8494","","",-79.0515763,35.96470166,"27514",NA
4487,"John E. Horan Garden Apartments Dental Office","2120 E 10th St, Erie, PA 16511-3111","814-464-0307","","http://www.community-healthnet.com",-80.03564953,42.1428265,"16511",40
4488,"Kiamichi Family Medical Center, Inc.","204 E Jackson St, Hugo, OK 74743-4037","580-326-9555","","http://www.kiamichimed.org",-95.51146613,34.0107384,"74743",45
4489,"Nelson County Middle School","6925 Thomas Nelson Hwy, Lovingston, VA 22949-2101","434-263-4801","","",-78.89440095,37.73194696,"22949",40
4490,"Waldport School Based Health Center","3000 S Crestline Dr, Waldport, OR 97394","541-265-0471","","",-124.06528272,44.40488833,"97394",32
4491,"North Inland Family Medicine","125 W Mission Ave Ste 105, Escondido, CA 92025-1721","619-445-6200","","http://www.mtnhealth.org",-117.08635055,33.13001137,"92025",30
4492,"Bridgehouse- Lompoc","2025 Sweeney Rd, Lompoc, CA 93436-9639","805-737-9443","","",-120.42848929,34.6442933,"93436",2
4493,"Baystate Brightwood Health Center","380 Plainfield St, Springfield, MA 01107-1524","413-794-4458","","http://www.baystatehealth.com/baystate/main+nav/about+us/locations",-72.61366752,42.11738964,"01107",57.5
4494,"Col. J. Ensor Middle School Clinic","13600 Ryderwood Dr, Horizon City, TX 79928-7218","915-533-7057","","",-106.21695149,31.69723951,"79928",40
4495,"Family Medicine Associates","2303 Village Dr, Saint Joseph, MO 64506-4954","816-232-6818","","http://www.nwhealth-services.org/",-94.7987908209133,39.7880664950371,"64506",54
4496,"Baptist Community Health Services- Lower 9th Ward","4960 Saint Claude Ave, New Orleans, LA 70117-4258","504-533-4999","","http://www.bchsnola.org",-90.02297376,29.96268098,"70117",8
4497,"Manteca Clinic","283 Spreckels Ave, Manteca, CA 95336-6005","209-468-6820","ffadoo@sjgh.org","http://www.sjcclinics.org",-121.19803674,37.79500497,"95336",55
4498,"Thundermist Dental Admin Woonsocket","25 John A Cummings Way, Woonsocket, RI 02895-3244","401-767-4100","","http://www.thundermisthealth.org",-71.50531931,42.00773038,"02895",65
4499,"Primary Health Services Center","2913 Betin Ave, Monroe, LA 71201-7257","318-388-1250","","",-92.08748147,32.52056789,"71201",40
4500,"New River Health - Fayetteville","221 W Maple Ave, Fayetteville, WV 25840-1413","304-574-3960","","http://www.nrhawv.org",-81.10697282,38.05028592,"25840",49
4501,"Henrietta Johnson Medical Center at Claymont","2722 Philadelphia Pike, Claymont, DE 19703-2568","302-655-6187","","http://www.hjmc.org",-75.467343,39.7945797,"19703",40
4502,"Dorchester House Multi Svs/Wic","1353 Dorchester Ave, Dorchester, MA 02122-2932","617-288-3230","","http://www.hhsi.us",-71.0591895779634,42.3043541013947,"02122",40
4503,"Muskingum Valley Health Center - Cambridge","1330 Clark St, Cambridge, OH 43725-9614","888-454-5157","","",-81.57689789,40.0393828,"43725",80
4504,"St. Patrick's Women's Shelter","270 Washington St, Somerville, MA 02143-3314","617-628-3015","","",-71.09799085,42.37945157,"02143",5
4505,"Swanton Rexall","44 Merchants Row, Swanton, VT 05488-1420","802-868-3338","","",-73.12578055,44.91909003,"05488",52
4506,"Valley View Health Center-Community Care Center Olympia","225 State Ave NE, Olympia, WA 98501-6951","360-915-8623","","http://www.vvhc.org",-122.89955957,47.04586553,"98501",10
4507,"Altamed Daniel Lara Hiv - Pico Rivera","9436 Slauson Ave, Pico Rivera, CA 90660-4748","562-949-8717","","http://www.altamed.org",-118.09569479,33.96800967,"90660",40
4508,"Marsing School","205 S 8th Ave W, Marsing, ID 83639-5304","208-869-4159","","http://www.trhs.org",-116.8122509,43.54307015,"83639",24
4509,"Logan County Community Health Center","1497 Nashville Rd, Russellville, KY 42276-8970","999-999-9999","","http://none at this time",-86.8841925,36.81906296,"42276",52
4510,"Mission Neighborhood Health Ctr","240 Shotwell St, San Francisco, CA 94110-1323","415-552-1013","","",-122.416296033608,37.7648027843973,"94110",59
4511,"Northeast Community Clinic","4455 W 117th St Ste 502, Hawthorne, CA 90250-2261","310-645-0444","Clau@necc.net","http://www.necc.net",-118.354059749962,33.9282430733787,"90250",40
4512,"Minot Dental","15 2nd Ave SW Ste 110, Minot, ND 58701-3874","701-838-3051","","http://www.northlandchc.org",-101.29347016,48.23437253,"58701",40
4513,"Packard Main","3174 Packard St, Ann Arbor, MI 48108-1947","734-971-1073","","http://www.packardhealth.org",-83.69659133,42.24509453,"48108",56
4514,"Hillside Family Health Center","1452 N 7th St, Milwaukee, WI 53205-2301","414-287-0919","","http://www.progressivechc.org",-87.92005959,43.0492441,"53205",46
4515,"Sun Valley Wic Office","5295 Sun Valley Blvd Ste 8, Sun Valley, NV 89433-7955","775-870-4339","","",-119.78043716,39.5851048,"89433",8
4516,"Good Samaritan Clinic","305 W Union St, Morganton, NC 28655-3782","828-212-4323","","",-81.6900252591634,35.7423176706388,"28655",40
4517,"South Central Medical and Resource Center","216 S Main St, Lindsay, OK 73052-5634","405-756-1414","","",-97.60280347,34.835202,"73052",40
4518,"Family Healthcare Network - Corporate Annex","126 W Center Ave, Visalia, CA 93291-6228","877-960-3426","","http://fhcn.org",-119.2932,36.33107548,"93291",45
4519,"Everett-College Clinic","930 N Broadway, Everett, WA 98201-1409","425-789-9789","","",-122.19881913,48.00474429,"98201",47
4520,"North Park Family Health Center","3544 30th St, San Diego, CA 92104-4120","619-515-2424","","http://www.fhcsd.org",-117.13011412,32.74284524,"92104",45
4521,"Nulato Health Clinic","Nikaghun St, Nulato, AK 99765","907-452-8251 x3531","","http://www.tananachiefs.org",-158.11323702,64.73376486,"99765",30
4522,"Thomas Hooker Elementary School Sbhc","70 Overlook Dr, Meriden, CT 06450-6933","203-237-8839","","",-72.78329124,41.51815015,"06450",20
4523,"Pms - Express Care by Presbyterian Medical Services","202 E Church St, Carlsbad, NM 88220-6308","575-628-1081","","",-104.22470475,32.42865188,"88220",40
4524,"Talladega Quality Health Care","110 Spring St N, Talladega, AL 35160-2040","256-315-1697","","http://www.qolhs.org",-86.10527278,33.43594283,"35160",40
4525,"Mercy Care Mobile","424 Decatur St SE, Atlanta, GA 30312-1848","678-843-8500","","http://www.mercyatlanta.org",-84.37419786,33.75058724,"30312",29.5
4526,"Wellspace Health - Sunrise Community Health Center","7777 Sunrise Blvd Ste 2500, Citrus Heights, CA 95610-2372","916-722-2227","","http://www.wellspacehealth.org",-121.273443,38.70684,"95610",40
4527,"United Family Medicine at Sibley Plaza","2423 7th St W, Saint Paul, MN 55116-2839","651-699-2093","","http://www.unitedfamilymedicine.org",-93.16919892,44.90244818,"55116",33
4528,"Lynn Vocational Technical High School, School Based Health Center, Annex","90 Commercial St, Lynn, MA 01905-2906","781-477-7431","","http://www.lchcnet.org/aboutus/",-70.95917249,42.459705,"01905",35
4529,"Community Support Services","150 Cross St, Akron, OH 44311-1026","330-966-9141","robert.stokes@cssbh.org","http://www.cssbh.org",-81.52094241,41.06783652,"44311",41
4530,"Washington/Holmes Mobile Unit","495 Saint Johns Rd, Bonifay, FL 32425-4237","850-547-5547","","http://www.pancarefl.org",-85.6867613626449,30.7663483849487,"32425",40
4531,"Shiloh Clinic","208 Shiloh Dr Ste 1, Laredo, TX 78045-7402","956-795-8100","","http://www.gatewaychc.com",-99.49411489,27.58632563,"78045",52.5
4532,"Cayce/West Columbia Primary Care Center","407 N Brown St, West Columbia, SC 29169-5710","803-995-8936","","http://www.ecchc.org",-81.08107182,33.98995221,"29169",40
